Status,No Friend,education,about me,family,gender,relationship,phototag*,photopost*,video,checkin,sport,player,music,film,series,book,game,restaurant,like,group,note,post shared/post posted rate
real,170,university,yes,yes,male,complicate,29,59,8,10,1,18,1,3,6,0,6,2,101,2,yes,0.1
real,353,university,yes,yes,male,alone,1,13,0,15,1,1,11,6,10,1,1,6,550,19,no,0.1
real,517,university,no,yes,male,alone,112,236,3,86,5,11,0,8,3,1,5,17,318,23,yes,0.5
real,460,university,no,yes,male,alone,74,142,3,98,33,96,16,14,17,6,19,0,900,32,yes,0.3
real,240,university,no,yes,female,complicate,23,13,1,9,0,0,0,0,0,0,0,0,15,2,no,0.1
real,340,high school,no,yes,male,complicate,12,120,1,26,0,0,0,0,0,0,0,0,44,3,no,0.5
real,460,no,no,yes,male,married,6,13,1,20,1,3,2,11,4,0,0,0,42,2,no,0.2
real,534,university,no,yes,male, ,7,35,2,37,3,2,5,2,1,1,0,0,140,4,no,0
real,957,university,no,yes,male,alone,32,10,4,60,7,6,10,8,6,1,10,0,130,122,yes,0.1
real,452,university,no,yes,male,alone,4,27,1,35,7,28,16,13,5,4,5,0,454,36,yes,0
real,779,university,yes,yes,male,complicate,48,44,0,48,2,1,0,29,2,0,1,2,274,78,no,0.1
real,516,university,yes,no,male,alone,29,3,3,32,18,52,15,4,6,2,8,0,591,34,yes,0.3
real,267,university,yes,yes,female,married,44,206,33,170,3,0,23,42,21,1,3,7,831,84,no,0.9
real,418,university,yes,no,male,alone,29,93,3,48,15,30,37,12,42,4,5,1,561,3,yes,0.5
real,445,high school,no,no,female,alone,3,31,0,11,0,0,5,44,2,0,1,0,104,22,no,0.1
real,205,university,yes,yes,male,alone,23,6,1,5,1,1,0,0,4,0,0,0,43,0,no,0.2
real,575,university,yes,yes,male,alone,1,7,2,182,0,0,10,0,1,0,1,0,23,33,yes,0.3
real,507,university,yes,yes,female,alone,48,73,2,23,0,0,106,12,0,10,0,7,817,19,no,0.3
real,130,university,yes,no,male,alone,51,72,0,4,7,5,0,1,1,0,0,0,80,1,yes,0.4
real,527,university,yes,yes,male,alone,63,744,18,42,15,4,8,11,4,7,0,2,841,36,no,0.2
real,346,university,yes,no,male,alone,41,14,1,21,1,0,1,0,2,0,0,1,54,6,no,0.1
real,348,university,yes,no,male,alone,48,44,1,6,1,0,4,2,1,1,5,0,91,7,no,0.2
real,452,university,yes,no,female,alone,44,188,2,46,4,13,38,10,5,1,2,7,435,3,no,0.1
real,603,university,yes,yes,male,alone,80,15,5,116,9,17,11,30,9,12,3,2,306,16,yes,0
real,1031,university,yes,yes,male, ,35,180,10,51,0,2,0,2,0,0,0,1,71,20,yes,0.2
real,1806,no,yes,yes,male,alone,2,7,0,4,4,2,62,48,52,22,47,0,4149,199,no,0.4
real,686,university,yes,yes,male,alone,6,3,2,52,3,0,2,2,2,2,5,0,282,4,no,0.4
real,582,university,yes,yes,male,alone,24,172,12,186,3,4,20,51,13,27,3,3,406,13,yes,0.1
real,875,university,yes,yes,male,alone,33,24,8,113,23,75,22,13,11,7,18,7,873,31,yes,0.2
real,875,university,yes,no,male,alone,8,18,9,122,1,0,1,0,0,0,0,0,164,31,no,0.2
real,1257,university,yes,yes,male,alone,9,12,5,53,4,9,74,29,22,5,3,8,1327,45,yes,0.4
real,875,no,no,yes,male,alone,16,15,16,33,0,0,0,0,0,0,0,0,412,32,yes,0.2
real,600,university,yes,yes,male,alone,24,25,0,30,0,1,0,1,3,0,1,0,99,4,no,0.1
real,655,university,yes,yes,male,complicate,16,14,11,31,1,0,2,0,0,1,1,0,421,11,no,0.1
real,497,university,yes,no,male, ,13,12,1,20,0,0,0,0,0,0,0,0,67,2,no,0.2
real,875,university,yes,yes,female,alone,8,2,2,114,1,0,15,44,18,3,4,44,971,7,yes,0.1
real,582,university,yes,yes,male,married,8,213,1,29,1,1,10,10,15,5,10,3,849,7,no,0.2
real,712,university,yes,yes,male,alone,1,7,2,44,0,0,2,2,2,1,2,0,199,12,yes,0.2
real,875,university,yes,yes,female,alone,123,288,11,118,0,0,10,1,0,12,0,3,535,57,yes,0.1
real,436,university,yes,no,male,alone,22,1,5,17,2,0,24,0,19,0,0,1,706,3,no,0.2
real,400,university,yes,yes,female,alone,36,185,5,50,0,0,18,9,12,10,1,2,569,31,yes,0
real,514,university,yes,yes,female,alone,10,13,2,68,2,0,8,5,0,1,0,10,337,10,yes,0.2
real,186,no,yes,no,male,alone,1,3,0,0,11,4,7,6,40,0,3,1,169,7,no,0.5
real,551,university,yes,yes,male,alone,11,1,1,9,7,13,4,1,6,1,4,0,202,10,yes,0.8
real,334,university,yes,no,male,alone,16,7,1,5,4,8,6,2,4,2,0,2,646,15,no,0.2
real,875,university,yes,no,male,alone,2,5,3,19,11,21,20,4,5,2,13,18,748,60,no,0.2
real,491,university,yes,no,male,alone,0,148,37,2,2,0,2,1,1,0,1,0,174,12,yes,0.5
real,711,university,yes,yes,male,alone,4,16,2,12,4,15,4,3,7,1,0,5,482,15,yes,0.4
real,518,university,yes,yes,male,alone,0,5,2,23,3,2,7,19,3,1,0,1,248,13,yes,0.4
real,921,university,yes,no,male,alone,5,52,1,97,2,0,13,2,5,2,5,18,645,179,yes,0.2
real,1588,university,yes,yes,male,alone,11,10,8,28,7,5,30,4,6,2,3,1,715,17,yes,0.2
real,868,university,yes,no,male,alone,0,86,2,75,1,3,5,2,2,2,2,0,254,35,yes,0.3
real,371,no,yes,no,female,alone,3,5,0,4,0,0,13,0,3,0,0,0,157,11,no,0.8
real,875,university,yes,no,female, ,0,31,14,1,1,0,149,5,5,8,0,0,442,2,no,0.3
real,715,university,yes,no,male,alone,11,28,1,18,5,1,3,2,7,2,1,0,366,15,no,0.3
real,452,university,yes,yes,male,alone,20,1,2,26,2,0,0,0,0,0,0,1,2,2,yes,0.6
real,401,university,yes,yes,female,alone,36,232,5,28,0,0,18,9,21,11,1,2,571,30,yes,0.6
real,445,university,yes,yes,male,alone,1,1,0,4,1,0,1,0,0,0,0,0,49,10,yes,0
real,846,university,yes,yes,female,alone,68,1,2,24,0,0,3,32,3,0,1,3,300,13,no,0.7
